id,sub_category,branch,name,description,module_type,exclusive_ids,hybrids,timePeriod,module_content_type,module_type_index,image_url,price,bonus,penalty,specialFunctions,blockIds,enableIds,comboBonusIds,authorshipPercent
58,Representation of Constituents,Legislative/ Parliamentary Core Articles,Fulltrúar: Hlutfallsdreifing,"Kjósendur mynda löggjafarsamkundu með því að greiða frambjóðendum og/eða flokkum atkvæði í kosningum á landsvísu. Valdahlutföll á þingi ráðast af hlutfallslegum fylgi flokka eða frambjóðenda. Ef enginn flokkur hefur meirihluta, er stuðst við samsteypustjórnir.",Exclusive,"58,59,60,61,62,63",,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/18.png,10,"High Progressivism,High Collectivism,Bonus for Population < 10M","High Tradition,High Authority,Penalty for Population > 50M",Blocks Regional Empowerment,,,,5
59,Representation of Constituents,Legislative/ Parliamentary Core Articles,Fulltrúar: Valdir eftir héruðum,Landinu er skipt í svæði eða kjördæmi sem hvert um sig kýs þingmenn sem eru þá fulltrúar þess kjördæmis á þingi.,Exclusive,"58,59,60,61,62,63",,Ancient,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/10.png,20,"Low Progressivism,High Tradition","High Collectivism,High Progressivism",Blocks Proportional Distribution ,,,,5
60,Representation of Constituents,Legislative/ Parliamentary Core Articles,Fulltrúar: Valdir eftir þjóðerni,Kvótakerfi tryggir að í landi þar sem íbúarnir eru af mörgum þjóðernum fá hver þjóð þann fjölda fulltrúa sem hlutfallslegur fjöldi gefur tilefni til.,Exclusive,"58,59,60,61,62,63",,Ancient,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/11.png,10,High Tradition,"High Progressivism,High Liberty",,,,,5
61,Representation of Constituents,Legislative/ Parliamentary Core Articles,Fulltrúar: Valdir eftir trúfélögum,Skipting þingsæta fylgir trúarhópum þannig að hver hópur fær þann fjölda fulltrúa sem stærð hans gefur tilefni til.,Exclusive,"58,59,60,61,62,63",,Ancient,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/12.png,10,High Tradition,"High Progressivism,High Liberty",,,,,5
62,Representation of Constituents,Legislative/ Parliamentary Core Articles,Fulltrúar: Valdir eftir þjóðfélagshópum,"Kosningakerfið er hannað þannig að það tryggi að hópaksipting á þingi sé sambærileg hópaskiptingu samfélagsins. Það þýðir að hlutfall kynja er sem jafnast, fulltrúar trúarhópa, félagslegra hópa osfrv. sitja á þingi.",Exclusive,"58,59,60,61,62,63",,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/19.png,10,"High Progressivism, High Collectivism",,,,,,8
63,Representation of Constituents,Legislative/ Parliamentary Core Articles,Fulltrúar: Blandað val,"Hér er reynta að skapa jafnvægi milli almennra kosninga annarsvegar og annarskonar fulltrúa hins vegar (þjóða eða trúarhópa) eða milli kosninga og annarra valaðferða, svo sem slembivals. Hugsunin er þá sú að auka líkur á því að ná sem mestri fjölbreytni á þingi og til hópa sem væru annars ekki sýnilegir.",Exclusive,"58,59,60,61,62,63",,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/27.png,10,"High Tradition
","High Progressivism,High Independence","Blocks Proportional Distribution, Regional Empowerment ",,,,8
64,,Legislative/ Parliamentary Core Articles,Þingmenn: Tilnefndir af þjóðhöfðingja,Þetta kerfi gerir ekki ráð fyrir kosningum til þings. Þjóðhöfðinginn velur einfaldlega heppilega einstaklinga sem hann skipar til setu á þingi um tiltekinn tíma.,Exclusive,"64,65,66,67,68",,Ancient,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/13.png,10,High Authority,"High Progressivism,High Independence",,,,,8
65,,Legislative/ Parliamentary Core Articles,Þingmenn: Tilnefndir af trúarleiðtoga,Það sem trúarleg stofnun leikur mikilvægt stjórnarhlutverk getur einnig þótt við hæfi að val á þingmönnum sé einnig á hendi hennar. Það tryggir að löggjöf sé alltaf í samræmi við kennisetningar trúarinnar.,Exclusive,"64,65,66,67,68",,Ancient,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/14.png,10,"High Tradition, High Authority","High Progressivism,High Independence",,,,,5
66,,Legislative/ Parliamentary Core Articles,Þingmenn: Kosnir,Hér er gengið út frá því að lögmæti fulltrúa ráðist af því að þeir séu kosnir eftir reglum viðurkennds kosningakerfis.,Exclusive,"64,65,66,67,68",,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/28.png,10,High Progressivism,High Tradition,,,,,3
67,,Legislative/ Parliamentary Core Articles,Þingmenn: Blandað kerfi,"Í blönduðu kerfi geta sumir þingmenn verið skipaðir, aðrir kosnir – eða sumir kosnir og aðrir slembivaldir. Einnig gæti verið um einhverja aðra samsetningu valaðferða að ræða.",Exclusive,"64,65,66,67,68",,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/20.png,10,"High Progressivism, High Collectivism","High Authority, High Liberty",,,,,3
68,,Legislative/ Parliamentary Core Articles,Þingmenn: Slembivaldir,Í þessu kerfi eru engar þingkosningar haldnar. Fulltrúar eru valdir úr hópi þeirra sem hafa kosningarétt með einhverri tegund slembivals sem tryggir að þingmenn endurspegli samsetningu þjóðarinnar.,Exclusive,"64,65,66,67,68",,Futurist,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/3.png,10,"High Science, High Collectivism","High law and order, High Progressivism",,,,,3
69,,Legislative/ Parliamentary Core Articles,Kjördæmi: Einmennings,Þingmenn eru kosnir í einmenningskjördæmum þannig að kjósendur geta aðeins valið einn frambjóðanda. Þetta getur þýtt að meirihluti þingmanna fer ekki saman við meirihlutafylgi flokks.,Exclusive,"69,70",,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/21.png,10,"High Progressism, High Liberty",High Colllectivism,,,,,3
70,,Legislative/ Parliamentary Core Articles,Kjördæmi: Flokkslistar,Kjósendur velja flokka frekar en frambjóðendur og fjöldi þignmanna frá hverjum flokki er þá í samræmi við fylgi á landsvísu eða samanlagt fylgi í kjördæmum.,Exclusive,"69,70",,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/29.png,10,"High Collectivism, High Tradition","High Progressivism,High Independence",,,,,3
71,Powers,Legislative/ Parliamentary Core Articles,Friðhelgi: Þingið,Þingmenn njóta friðhelgi og verða ekki sóttir til saka á meðan þeir sitja á þingi.,Simple,,,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/30.png,5,"High Authority, High Tradition","High Progressivism, High law and order",,,,,3
72,Parliamentary Procedure,Legislative/ Parliamentary Core Articles,Málsmeðferð þings: Nákvæm og fjarlæg,Öll meðferð mála á þingi er afar margbrotin í kerfi sem hefur þessa eiginleika. Nefndaskipan er flókin og aukinn meirihluti oft nauðsynlegur til að koma málum í gegn. Flest tekur langan tíma og erfitt er að breyta frumvörpum sem komin eru fram. Með þessu móti er löggjöf mjög stöðug og kerfið sækir í að breyta sem minnstu.,Exclusive,"72,73,74",,Ancient,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/15.png,20,"High Tradition,High Collectivism,High law and order","High Progressivism,High Authority,High Liberty","Blocks Elaborate & Stringent, Functional & Expedient",,,,8
73,Parliamentary Procedure,Legislative/ Parliamentary Core Articles,Málsmeðferð þings: Flókin og ströng,Hér farinn ákveðinn millivegur á milli formfestu og opins umræðuferlis þar sem minnihlutaflokkar geta náð fram málamiðlunum eða jafnvel endurskoðun sem hluta af rökræðum. Ólík frumvörp getur þurft að samhæfa og komast hjá málþófi til að tryggja að afgreiðlsutími lengist ekki úr hófi.,Exclusive,"72,73,74",,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/31.png,10,"Medium Tradition,Medium Collectivism,Medium law and order,Medium Progressivism","High Authority,High Liberty","Blocks Laborious & Byzantine, Functional & Expedient",,,,8
74,Parliamentary Procedure,Legislative/ Parliamentary Core Articles,Málsmeðferð þings: Fagleg og skilvirk,"Hér er áherslan lögð á hraðvirkt og sveigjanlegt þing, venjulega í einni þingdeild, þar sem fáar hindranir eru i vegi fyrir skilvirkri málsmeðferð og tíðum atkvæðagreiðslum um nýja löggjöf. Þingið er þannig næmt fyrir viðhorfum almennings ef kjörnir fulltrúar bregðast við þeim. Gallinn er hins vegar sá að meirihluti hverju sinni getur breytt lagaumhverfi á skömmum tíma án mikils samráðs við flokka í minnihluta.",Exclusive,"72,73,74",,Futurist,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/4.png,20,"High Liberty,High Progressivism,Medium Authority","High Tradition,High Collectivism","Blocks Elaborate & Stringent, Laborious & Byzantine",,,,10
75,Changing the Constitution,Legislative/ Parliamentary Core Articles,Stjórnarskrárbreytingar: Mjög erfiðar,"Hér er gert ráð fyrir að mörg ólík skilyrði þurfi að vera uppfyllt til að mögulegt sé að breyta stjórnarskránni. Aukinn meirihluti þings, í báðum deildum ef það á við, og hugsanlega krafist aðkomu sveitarstjórnarstigsins eða þjóðaratkvæðagreiðslu til endanlegrar staðfestingar. Þetta tryggir hinsvegar að réttindum og málsmeðferðarreglum verður ekki breytt í einu vetfangi, en það þýðir líka að stjórnvöld eru ekki endilega lipur gagnvart samfélagslegum breytingum.",Exclusive,"75,76,77",,Ancient,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/16.png,20,"High Authority,High Tradition,High law and order","High Progressivism,High Science
","Blocks Expedient, Difficult",,,,3
76,Changing the Constitution,Legislative/ Parliamentary Core Articles,Stjórnarskrárbreytingar: Erfiðar,Hér má gera ráð fyrir að einhver þröskuldur sé gagnvart stjórnarskrárbreytingum til dæmis aukinn meirihluti á þingi eða aðkoma sveitarstjórnarstigsins og þjóðaratkvæðagreiðsla. Markmiðið er þá að finna rétta jafnvægið á milli stöðugleika og aðlögunar að samfélagi sem kanna að vera í örum breytingum.,Exclusive,"75,76,77",,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/32.png,10,"Medium Progressivism,Medium Liberty,High Independence","High Authority
","Blocks Very Difficult, Expedient",,,,3
77,Changing the Constitution,Legislative/ Parliamentary Core Articles,Stjórnarskrárbreytingar: Ekki erfiðar,"Þegar reynt er að hafa stjórnarskrarbreytingar auðveldar er gert ráð fyrir því að þær fylgi reglum um almennar lagabreytingar að mestu í  því skyni að tryggja að lög og reglur fylgi samfélagsþróun, þannig að stjórnvöld séu virk í samskiptum við almenning og næm fyrir viðhorfum almennings. En um leið er stjórn ríkisins óvarin gagnvart áhrifum lýðskrumara.",Exclusive,"75,76,77",,Futurist,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/5.png,20,"High Authority,High Progressivism,High Science",High Tradition,"Blocks Difficult, Very Difficult",,,,3
78,Parliamentary Procedure,Legislative/ Parliamentary Amendments,Vantraust,Þingið getur hvenær sem er lýst yfir vantrausti á ríkjandi forystu og tekið ákvörðun um að kosningar skuli haldnar.,Simple,,,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/33.png,5,"High Progressivism,Low Authority",High law and order,,,,,3
79,Limits on Powers,Legislative/ Parliamentary Amendments,Reglur um lobbíisma: Þingið,Kjörnir fulltrúar mega ekki taka við nokkurs konar framlögum frá einkaaðilum og fyrirtækjum umfram það ákveðið hámark. Eftir að kjörtímabili lýkur þarf viss tími að líða áður en fólk getur hafið störf fyrir einkaaðila sem lobbíistar. Skýrar reglur og viðurlög þurfa að vera um þetta.,Simple,,,Futurist,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/6.png,10,"High Collectivism,High Progressivism","High Tradition
",,,,,3
80,Limits on Powers,Legislative/ Parliamentary Amendments,Siðaráðgjafi,"Þingið þarf að skipa sérstakan siðfræðiráðgjafa sem til að gæta þess að ítrustu viðmiðum sé fylgt um hegðun þingmanna, einnig löggjafarferlið sjálft. Hann/hún er sömuleiðis til ráðgjafar um siðferðileg álitamál lagasetningarinnar sjálfrar.",,,,"Modern/Contemporary
",Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/22.png,5,"High Progressivism, High Collectivism, High law and order","High Privacy, High Liberty",,,,,3
81,Limits on Powers,Legislative/ Parliamentary Amendments,Upplýsingaskylda um fjárhag: Þingmenn,"Þingmenn þurfa að veita upplýsingar um fjárhag sinn sem eru opnar almenningi. Þetta varðar tekjur, skuldir og eignir. Gera má sömu kröfu um upplýsingar um fjárhag fjölskyldumeðlima.",,,,Futurist,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/7.png,5,"High Progressivisim, High law and order","High Privacy, High Liberty",,,,,3
82,Oversight,Legislative/ Parliamentary Amendments,Brottvikning kjörinna fulltrúa og embættismanna,Þingið hefur vald til að víkja frá störfum þjóðhöfðingja og dómurum sem brjótagegn stjórnarskrárbundnu hlutverki sínu. Sérstök málsmeðferð hefst undir slíkum kringumstæðum þar sem þingið greiðir á endanum atkvæði um hvort viðkomandi embættismaður skuli missa embætti sitt eða halda því.,Simple,,,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/34.png,5,"High Collectivism, High Independence",High Authority,,,,,2
83,Checks & Balances,Legislative/ Parliamentary Amendments,Brottvikning kjörinna fulltrúa og embættismanna,Þingið hefur vald til að víkja frá störfum þjóðhöfðingja og dómurum sem brjótagegn stjórnarskrárbundnu hlutverki sínu. Sérstök málsmeðferð hefst undir slíkum kringumstæðum þar sem þingið greiðir á endanum atkvæði um hvort viðkomandi embættismaður skuli missa embætti sitt eða halda því.,Simple,,,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/35.png,10,"High Collectivism,High Progressivism,High Liberty","High Authority
","Blocked by King, High Priest ",,,,5
84,Checks & Balances,Legislative/ Parliamentary Amendments,Ógilding tilskipana,Á sama hátt og löggjafi getur afnumið neitunarvald gerir slíkt ákvæði mögulegt að snúa við eða afturkalla tilskipanir eða fyrirmæli frá framkvæmdarvaldinu.,Simple,,,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/36.png,5,"Low Authority,High Collectivism",High Tradition,,,,,3
85,Oversight,Legislative/ Parliamentary Amendments,Eftirlit almennings,Almenningur hefur eftirlit með löggjafarstarfi og á rétt á svörum um hvernig lög eru sett og hvað aðferðum er beitt við löggjöf. Sveitarstjórnir skipa eftirlitsmenn sem sjá til þess að fylgt sé siðferðilegum viðmiðum og reglum um góða starfshætti og óska eftir skýringum sem almenningur á rétt á.,Simple,,,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/23.png,5,"High Collectivism,High Progressivism","High Authority,High Tradition",,,,,2
86,Oversight,Legislative/ Parliamentary Amendments,Ríkisstofnanir: Umboðsmaður,Umboðsmaður hefur eftirlit með stjórnsýslu og bendir á þegar lagalegum eða siðferðilegum viðmiðum er ekki mætt. Umboðsamðurinn getur rannsakað stjórnsýsluferli að eigin frumkvæði eða á grundvelli ábendinga eða kæra.,Simple,,,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/37.png,5,"High law and order,High Collectivism,High Progressivism","High Authority
",,,,,2
87,Powers,Legislative/ Parliamentary Amendments,Stjórn skattamála: Þingið,Þingið ræður endanlegum ákvörðunum um tekjulindir ríkisins. Þetta þýðir að þingið ákveður skattaálögur og tekur sömuleiðis ákvarðanir um dreifingu fjár og sömuleiðis meðferð skulda og taps. Þetta er stundum kallað „budduvald“.,Delegated, ,"17,60",Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/38.png,10,"High Liberty,High Collectivism","High Authority,High Tradition,High law and order",,,,,3
88,Powers,Legislative/ Parliamentary Amendments,Stjórn yfir her: Þingið,Þingið hefur borgaralegt eftirlit með varnarsveitum ríkisins og her (ef her er starfandi).,Delegated,,"18,61",Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/39.png,10,"High Liberty,High Collectivism","High Authority,High Tradition,High Independence",,,,,3
89,Powers,Legislative/ Parliamentary Amendments,Stjórn yfir alþjóðlegum samskiptum: Þingið,"Þingið fer með samningsvald fyrir hönd ríkisins og sér um að skipta sendiherra erlendis, viðskiptasamninga og opin samskipti við nágrannaríki og bandamenn á alþjóðlegum vettvangi.",Delegated,,"19,62",Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/40.png,10,High Independence,"High Authority,High Tradition",,,,,3
90,Powers,Legislative/ Parliamentary Amendments,Réttur til að lýsa yfir stríði: Þingið,Þingið hefur vald til að hefja stríðsaðgerðir og lýsa yfir stríði á hendur annarri þjóð.,Delegated,,"20,63",Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/41.png,10,"High Progressivism,High Collectivism","High Authority,High law and order",,,,,3
91,Powers,Legislative/ Parliamentary Amendments,Gerð samninga: Þingið,"Löggjafinn hefur vald til að staðfesta samngina sem gerð hafa verið við önnur ríki, sem í ljósi miliríkjasamskipta eða sigra í stríði. Slíkir samningar geta verið við önnur ríki, alþjóðastofnanir eða ríkjabandalög.",Delegated,,"21,64",Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/42.png,10,"High Progressivism,High Collectivism","High Independence,High law and order
",,,,,3
92,Powers,Legislative/ Parliamentary Amendments,Skipun/brottrekstur embættismanna: Þingið,Ráðherrar skipa embættismenn og víkja þeim úr starfi. Löggjafinn þarf að staðfesta skipanir.,Simple,,,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/24.png,5,High Collectivism,High Authority,,,,,3
93,Powers,Legislative/ Parliamentary Amendments,Trúarlegt vald: Þingið,Löggjafinn fer með veraldlegt vald en getur einnig farið með æðsta vald í trúarlegum efnum í samfélagi þar sem aðgreining á hinu trúarlega og veraldlega er takmörkuð.,Simple,,,Ancient,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/17.png,10,"High Tradition, High Authority","High Science, High Liberty",,,,,5
94,State Institutions,Legislative/ Parliamentary Amendments,Ríkisstofnanir: Öryggisráð,"Ríkisstjórnin og/eða þjóðhöfðingi verður samkvæmt þessu ákvæði að skipa ráð til að fylgjast með og veita stjórnvöldum ráð um öryggismál, þar á meðal hernaðartengd mál. Þetta tryggir að til staðar sé fagleg greining og ráðgjöf við stefnumótun á þessu sviði.",Simple,,,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/25.png,5,"Low Independence, High Authority, High law and order, High Science","High Tradition, High Independence",,,,,2
95,State Institutions,Legislative/ Parliamentary Amendments,Ríkisstofnanir: Seðlabanki,"Ákvæði um seðlabanka tryggir að óháð stofnun sé látin taka lykilákvarðanir sem varða efnahagslegar aðstæður, svo sem vexti, á grundvelli hagfræðilegs mats. Með þessu er viss hluti ákvarðanatöku á þessu sviði færður til sérfræðinga.",Simple,,,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/26.png,10,"Medium Independence, High Science, High Collectivism","Low Collectivism, Low Science",,,,,2
96,State Institutions - Theocracy,Legislative/ Parliamentary Amendments,Ríkisstofnanir: Trúarstofnun,"Sú stofnun samfélagsins sem fer með málefni ríkjandi trúarbragða nýtur samkvæmt þessu ákvæði fjármögnunar hins opinbera. Önnur trúfélög geta starfað líka og notið opinbers stuðnings, en ábyrgð ríkisins er þó aðeins að tryggja að þessi eina trúarstofnun bjóði þeim upp á þjónustu sem trúna aðhyllast.",Simple,,,Ancient,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/18.png,10,"High Tradition, Low Science, High Collectivism","High Progressivism, High Science, High Liberty",,,,,2
97,State Institutions,Legislative/ Parliamentary Amendments,Ríkisstofnanir: Heilbrigðisþjónusta,Ríkin ber samkvæmt þessu ákvæði skylda til að starfrækja sé heilsugæsla sem veitir öllum borgurum almenna heilbrigðisþjónustu. Þetta kemur ekki ív eg fyrir að aðrir aðilar bjóði einnig upp á heilbrigðisþjónustu af einhverju tagi.,Simple,,,Futurist,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/8.png,10,"High Science, High Collectivism, High Progressivism","High Liberty, Low Collectivism, Low Progressivism",,,,,2
98,State Institutions,Legislative/ Parliamentary Amendments,Ríkisstofnanir: Grunnskólar,Þetta ákvæði felur í sér skyldu hins opinbera til að starfrækja grunnskóla og tryggja að allir hafi aðgang að menntun sem uppfyllir gæðakröfur.,Simple,,,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/27.png,5,"High Science, High Collectivism, High Progressivism","High Liberty, Low Collectivism, Low Science",,,,,2
99,Parliamentary Procedure,Legislative/ Parliamentary Amendments,Forseti þings,Einn þingmanna er kosinn forseti þingsins og hefur þá það hlutverk að sjá til þess að starfað sé eftir réttum reglum á þingi. Hann er jafnframt fulltrúi þingsins heima og erlendis. Þingforseti getur einnig þjónað sem staðgengill þjóðhöfðingja.,Simple,,,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/43.png,10,"Medium Authority, High Collectivism, Medium Tradition",High Liberty,,,,,5
100,Parliamentary Procedure,Legilsative/ Parliamentary Amendments,Þingnefndir,Ákvæði um þingnefndir setur ákveðna reglu á það hvernig fjallað er um frumvörp til laga (og sömuleiðis þingsályktanir). Markmið þess er að auka faglega meðferð mála og tryggja að allir flokkar á þingi komi að þingmálum hvort sem þeir tilheyra minnihluta eða meirihluta.,Simple,,,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/28.png,3,"High Science, High Progressivism","High Tradition, Low Science",,,,,2
101,Limits on Powers,Legislative/ Parliamentary Amendments,Hallalaus fjárlög,Löggjafinn hefur samvkæmt þessu ákvæði skyldu til að afgreiða hallalaus fjárlög og tryggja þar með að útgjöld hins opinbera séu aldrei meiri en árlegar tekjur ríkissjóðs.,Simple,,,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/29.png,20,"High Collectivism, High Science, High Sovreignty",High Progressivism,,,,,5
102,Powers,Legislative/ Parliamentary Amendments,Fjármálaáætlun,Ákvæði af þessu tagi skyldar löggjafann til að gera fjárhagsáætlanir til lengri tíma til að auka fjárhagslegan stöðugleika og getu til að sjá þróun fyrir.,Simple,,,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/30.png,10,"High Progressivism, High Collectivism",High Tradition,,,,,3
103,Limits on Powers,Legislative/ Parliamentary Amendments,Þak á útgjöldum,Þingið þarf að setja leiðbeinandi reglur um útgjöld framkvæmdarvaldsins samkvæmt ákvæði af þessu tagi. Þetta getur þýtt að stjórnvöld þurfi að fá heimild til að undirrita lánasamninga eða til að taka á sig skuldbindingar sem ganga lengra en fyrirfram samþykktur fjárhagsrammi gerir ráð fyrir.,Simple,,,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/31.png,10,"High Progressivism, High Collectivism",High Tradition,,,,,3
104,Limits on Powers,Legilsative/ Parliamentary Amendments,Brottrekstur þingmanna,Þingið getur greitt atkvæði um að víkja einstökum þingmönnum úr sæti sína á þingi tímabundið eða fyrir fullt og allt. Þetta getur verið nauðsynlegt ef þeir eiga ákæru yfir höfði sér og þurfa að geta svarað til saka.,Simple,,,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/44.png,5,"High Authority, High Collectivism",High Progressiivism ,,,,,3
105,Limits on Powers,Legislative/ Parliamentary Amendments,Fyllt í skarð: Aukakosningar,"Þegar þingmaður deyr eða víkur af þingi, eru haldnar sérstakar kosningar um hið lausa sæti.",Exclusive,"105,106,107",,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/45.png,5,"High Progressivism, High Collectivism",High law and order,,,,,2
106,Limits on Powers,Legislative/ Parliamentary Amendments,Fyllt í skarð: Tilnefning,Þjóðhöfðingi tilnefnir nýjan þingmann til að koma í stað þingmanns sem er látinn eða hefur vikið af þingi. Nýi þingmaðurinn gegnir þá embættinu út tímabil hins.,Exclusive,"105,106,107",,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/46.png,5,"High Tradition, High Authority",High Progressivism,,,,,2
107,Limits on Powers,Legislative/ Parliamentary Amendments,Fyllt í skarð: Varamenn,Flokkar stilla upp varamönnum þannig að fulltrúar eru alltaf tiltækir til að taka við af þingmönnum sem deyja eða hverfa af þingi.,Exclusive,"105,106,107",,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/32.png,5,"High Authority, High law and order, High Independence, Low Progressivism",High Progressivism,,,,,3
108,Checks & Balances,Legilsative/ Parliamentary Amendments,Ógilding neitunarvalds,Aukinn meirihluti þings (t.d. tveir þriðju) getur afnumið neitunarvald þjóðhöfðingja og þannig komið í gegn lögum eða ályktun sem þjóhöfðingji neitar að staðfesta.,Simple,,,Early Modern,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/47.png,10,"High Collectivism, Low Authority","High Authority, High Liberty",,,,,2
109,Legislative Initiative,Legilsative/ Parliamentary Amendments,Löggjafarfrumkvæði: Almenningur,"Almenningur getur gert tillögu um lagafrumvarp til þingsins. Fáist nægur stuðningur almennings – undirskriftir 2-5% kosningabærra einstaklinga, þarf þingið að fjalla um frumvarpið eins og önnur lagafrumvörp.",Simple,,,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/33.png,5,"High Progressivism, High Collectivism","High Authority, Low Progressivism",,,,,2
